007  00347 |Loss: 1.008 | Acc: 47.500% 
007  00348 |Loss: 1.024 | Acc: 44.792% 
007  00349 |Loss: 1.009 | Acc: 45.536% 
007  00350 |Loss: 1.013 | Acc: 44.531% 
007  00351 |Loss: 1.017 | Acc: 44.444% 
007  00352 |Loss: 1.021 | Acc: 45.000% 
007  00353 |Loss: 1.017 | Acc: 46.591% 
007  00354 |Loss: 1.012 | Acc: 48.438% 
007  00355 |Loss: 1.014 | Acc: 47.115% 
007  00356 |Loss: 1.016 | Acc: 46.875% 
007  00357 |Loss: 1.014 | Acc: 48.333% 
007  00358 |Loss: 1.011 | Acc: 48.828% 
007  00359 |Loss: 1.009 | Acc: 49.265% 
007  00360 |Loss: 1.011 | Acc: 48.264% 
007  00361 |Loss: 1.012 | Acc: 48.684% 
007  00362 |Loss: 1.009 | Acc: 49.062% 
007  00363 |Loss: 1.007 | Acc: 50.595% 
007  00364 |Loss: 1.007 | Acc: 51.136% 
007  00365 |Loss: 1.008 | Acc: 51.087% 
007  00366 |Loss: 1.009 | Acc: 51.042% 
007  00367 |Loss: 1.011 | Acc: 51.250% 
007  00368 |Loss: 1.006 | Acc: 51.923% 
007  00369 |Loss: 1.004 | Acc: 52.083% 
007  00370 |Loss: 1.001 | Acc: 52.232% 
007  00371 |Loss: 1.004 | Acc: 51.509% 
007  00372 |Loss: 1.005 | Acc: 51.458% 
007  00373 |Loss: 1.006 | Acc: 50.806% 
007  00374 |Loss: 1.006 | Acc: 51.172% 
007  00375 |Loss: 1.005 | Acc: 51.136% 
007  00376 |Loss: 1.003 | Acc: 51.654% 
007  00377 |Loss: 1.006 | Acc: 50.536% 
007  00378 |Loss: 1.006 | Acc: 50.000% 
007  00379 |Loss: 1.004 | Acc: 49.831% 
007  00380 |Loss: 1.002 | Acc: 50.000% 
007  00381 |Loss: 1.001 | Acc: 49.840% 
007  00382 |Loss: 1.000 | Acc: 49.688% 
007  00383 |Loss: 0.997 | Acc: 50.000% 
007  00384 |Loss: 0.994 | Acc: 50.149% 
007  00385 |Loss: 0.991 | Acc: 50.436% 
007  00386 |Loss: 0.995 | Acc: 50.284% 
007  00387 |Loss: 0.995 | Acc: 50.417% 
007  00388 |Loss: 0.997 | Acc: 50.272% 
007  00389 |Loss: 0.998 | Acc: 50.133% 
007  00390 |Loss: 0.997 | Acc: 50.000% 
007  00391 |Loss: 0.996 | Acc: 49.872% 
007  00392 |Loss: 0.994 | Acc: 50.250% 
007  00393 |Loss: 0.992 | Acc: 50.613% 
007  00394 |Loss: 0.992 | Acc: 50.481% 
007  00395 |Loss: 0.990 | Acc: 50.354% 
007  00396 |Loss: 0.987 | Acc: 50.231% 
007  00397 |Loss: 0.987 | Acc: 50.000% 
007  00398 |Loss: 0.988 | Acc: 49.442% 
007  00399 |Loss: 0.986 | Acc: 49.444% 
008  00400 |Loss: 0.875 | Acc: 62.500% 
008  00401 |Loss: 0.863 | Acc: 62.500% 
008  00402 |Loss: 0.873 | Acc: 60.417% 
008  00403 |Loss: 0.863 | Acc: 64.062% 
008  00404 |Loss: 0.864 | Acc: 63.750% 
008  00405 |Loss: 0.842 | Acc: 65.625% 
008  00406 |Loss: 0.845 | Acc: 64.286% 
008  00407 |Loss: 0.828 | Acc: 64.844% 
008  00408 |Loss: 0.837 | Acc: 63.194% 
008  00409 |Loss: 0.864 | Acc: 60.000% 
008  00410 |Loss: 0.863 | Acc: 60.227% 
008  00411 |Loss: 0.858 | Acc: 59.896% 
008  00412 |Loss: 0.861 | Acc: 60.096% 
008  00413 |Loss: 0.857 | Acc: 61.607% 
008  00414 |Loss: 0.859 | Acc: 62.083% 
008  00415 |Loss: 0.857 | Acc: 62.109% 
008  00416 |Loss: 0.856 | Acc: 62.132% 
008  00417 |Loss: 0.849 | Acc: 63.194% 
008  00418 |Loss: 0.851 | Acc: 62.829% 
008  00419 |Loss: 0.843 | Acc: 63.750% 
008  00420 |Loss: 0.839 | Acc: 63.690% 
008  00421 |Loss: 0.845 | Acc: 62.784% 
008  00422 |Loss: 0.850 | Acc: 62.500% 
008  00423 |Loss: 0.849 | Acc: 62.760% 
008  00424 |Loss: 0.847 | Acc: 62.750% 
008  00425 |Loss: 0.846 | Acc: 62.500% 
008  00426 |Loss: 0.846 | Acc: 62.037% 
008  00427 |Loss: 0.844 | Acc: 62.277% 
008  00428 |Loss: 0.841 | Acc: 62.931% 
008  00429 |Loss: 0.837 | Acc: 63.125% 
008  00430 |Loss: 0.834 | Acc: 63.105% 
008  00431 |Loss: 0.835 | Acc: 62.695% 
008  00432 |Loss: 0.833 | Acc: 62.879% 
008  00433 |Loss: 0.832 | Acc: 63.235% 
008  00434 |Loss: 0.827 | Acc: 63.393% 
008  00435 |Loss: 0.820 | Acc: 64.062% 
008  00436 |Loss: 0.818 | Acc: 64.020% 
008  00437 |Loss: 0.824 | Acc: 63.322% 
008  00438 |Loss: 0.825 | Acc: 62.821% 
008  00439 |Loss: 0.825 | Acc: 62.656% 
008  00440 |Loss: 0.820 | Acc: 62.957% 
008  00441 |Loss: 0.821 | Acc: 62.946% 
008  00442 |Loss: 0.820 | Acc: 63.081% 
008  00443 |Loss: 0.817 | Acc: 62.784% 
008  00444 |Loss: 0.814 | Acc: 63.056% 
008  00445 |Loss: 0.808 | Acc: 63.315% 
008  00446 |Loss: 0.807 | Acc: 63.165% 
008  00447 |Loss: 0.805 | Acc: 63.281% 
008  00448 |Loss: 0.805 | Acc: 63.138% 
008  00449 |Loss: 0.805 | Acc: 63.000% 
008  00450 |Loss: 0.803 | Acc: 63.235% 
008  00451 |Loss: 0.800 | Acc: 63.582% 
008  00452 |Loss: 0.800 | Acc: 63.325% 
008  00453 |Loss: 0.799 | Acc: 63.426% 
008  00454 |Loss: 0.791 | Acc: 63.977% 
008  00455 |Loss: 0.792 | Acc: 63.951% 
008  00456 |Loss: 0.785 | Acc: 64.111% 
009  00457 |Loss: 0.459 | Acc: 75.000% 
009  00458 |Loss: 0.631 | Acc: 62.500% 
009  00459 |Loss: 0.661 | Acc: 62.500% 
009  00460 |Loss: 0.668 | Acc: 62.500% 
009  00461 |Loss: 0.646 | Acc: 63.750% 
009  00462 |Loss: 0.641 | Acc: 65.625% 
009  00463 |Loss: 0.631 | Acc: 66.964% 
009  00464 |Loss: 0.650 | Acc: 67.969% 
009  00465 |Loss: 0.689 | Acc: 66.667% 
